countries
USA
 Germany
 France
 Italy
 Spain
 Netherlands
 Belgium
 Austria
 Greece
 Portugal
 Finland
 Ireland
 Slovenia
 Luxembourg
 Estonia
 Slovakia
 Cyprus
 Malta
 Japan
 United Kingdom
 Canada
 Korea
 Australia
 Taiwan
 Sweden
 Switzerland
 Hong Kong
 Singapore
 Czech Republic
 Norway
 Israel
 Denmark
 New Zealand
 Iceland
